"date","count","affiliation"
2016-04-14,1,"student"
2016-04-17,2,"student"
2016-04-20,2,"student"
2016-04-21,1,"student"
2016-04-22,1,"student"
2016-04-23,1,"student"
2016-04-24,1,"student"
2016-04-27,1,"student"
2016-05-02,1,"student"
2016-05-06,1,"student"
2016-05-08,2,"student"
2016-05-11,1,"student"
2016-05-11,1,"community"
2016-05-13,1,"student"
